Customer ID,Customer Name,Customer Address,Customer City,Customer State,Customer Zip,Sales Rep
386423,Big Mart,56 Hanover Dr,Boston,MA,02115,gray74
686236,Mastro Toys,12 2nd St,New York,NY,10022,gray74
874239,Toy Town,350 Hazel Ave,Atlanta,GA,31324,tanderson
469752,Toronto Toy Land,4 Main St,Minneapolis,MN,55416,mflemming17
456987,UniMart,12 State St,Newark ,NJ,07191,gray74
123765,Marco's Games and Things,156 King's Path,San Diego ,CA,92071,gutierrez39
835679,Tao's Toys,89 George Way,Wilmington,DE,19806,gray74
783674,Mega Mart,3200 N Charles St,Baltimore,MD,21218,anderson21
456785,All Brands Toys,22 E Broad St,Cleveland,OH,44127,fleming82
237542,Davidson's Toy House,37 Franklin Dr,Cincinnati ,OH,45217,gray74
679346,House of Games,45 Denow Rd,Chicago,IL,60611,anderson21
666331,We Be Toys,346 E 22nd St,New York,NY,10020,gray74
969873,Dysart's Dolls,78 Richard's Way,Cincinnati ,OH,45216,fleming82
127057,Toy Express,67 Johnston St,Boston,MA,02115,gray74
670632,The Little Shop,109 Florence Dr,Atlanta,GA,31327,anderson21
789573,Toy Adventure,134 Falls Rd,Newark ,NJ,07195,gray74
467985,Big Box Store,45 Cold Spring Ave,Baltimore,MD,21210,anderson21
346967,Toy Haven,123 Holly Rd,San Diego ,CA,92108,gutierrez39
236098,The Toy Barn,43 Chance Rd,Los Angelas,CA,90001,gutierrez39
368752,Camille's Toy Shoppe,59 Duggins Ave,Wilmington,DE,19899,gray74
508624,Games and Things,273 W Holly Ave,Minneapolis,MN,55416,fleming82
598734,The Toy Shop,1200 34th St,Buffalo,NY,14214,gray74
689534,Haley's Toys,705 Ferry Way,Chicago,IL,60611,anderson21
698236,Griffin's Toy Emporium,506 Victor Rd,Los Angelas,CA,90022,gutierrez39
650780,Carter Toys,654 Park Place,Dover,DE,19901,anderson21
522148,Parker Toys,74 Pine Street,Denver ,CO,80201,gutierrez39
110121,Washington Ave. Toys,1001 Washington Ave,Sacramento,CA,94203,gutierrez39
540805,Dogwood Toys,782 Dogwood Ln,Hartford,CT,06101,gray74
662541,Toys Unlimited,358 Oak St,Chicago,IL,60601,fleming82
650470,Games and Things,223 Mabel St,Phoenix,AZ,85001,fleming82
980672,Toys and More,246 Magee St,Beverly Hills,CA,90209,gray74
882204,We Be Toys,5440 Hillcrest Ave,Miami ,FL,33124,gutierrez39
650480,Fun Stop,21 Cumberland Ave,Pensacola ,FL,32501,smith75
998450,Toys for Less,132 Main St,Atlanta,GA,30301,jones13
320508,Big Box Store,230 Right Ave,Honolulu,HI,96801,adams75
554045,Mike's,120 Browne St,Davenport,IA,52801,green24
665048,Toys for You,902 Shaw St,New Orleans,LA,70112,guo10
780754,Fun and Games,109 Galbreath Rd,Coldwater,MI,49036,gao24
907806,RTY Toys,316 Ferguson Ave,Baltimore,MD,21201,cortez55
413404,Mega Mart,8 Berlin Rd,St Louis,MO,63101,rodriguez74
155332,Games and Things,897 Russell Ave,Reno ,NV,89501,ribeiro22
650054,Big Box Store,78 Dean Dr,Walhalla ,ND,58282,alves20
900751,Mello Toys,932 Decker Dr,Cleveland,OH,44179,allison29
711928,Big Box Store,701 Crowe St,Portland,OR,97201,davidson20
741981,All Toys,875 Main St,Logan ,UT,84323,gutierrez39
402608,Rita's Toys,57 First St,Bellevue,WA,98009,gutierrez39
756247,Super Mart,2900 Boyles St,Pinedale ,WY,82941,gutierrez39
207316,Mega Mart,12 Boyer Ln,Beaver,WV,25813,smith75
342951,Arnold's Fun Factory ,129 Boak St,Newport,RI,02840,jones13
697377,Fun Factory ,1204 Maple Rd,Santa Fe,NM,87500,adams75
877766,Andrew's Toys,803 Ash St,Indianapolis ,IN,46201,gutierrez39
531968,Toy Shop,190 Pine Ln,Chicago,IL,60601,guo10
162033,We Be Toys,1988 Barnes Dr,Boston,MA,02115,jones13
299808,Games and Things,103 Baker St,New York,NY,10022,jones13
844070,Toys and More,183 Allen St,Chicago,IL,60611,rodriguez74
262625,Super Mart,594 Apple Rd,New York,NY,10020,ribeiro22
734057,Smith and Company ,1930 Abbey Ln,Cincinnati ,OH,45216,alves20
426276,Boston Toys,120 Acre Rd,Boston,MA,02115,jones13
369148,Taylor's,124 Albert St,Atlanta,GA,31327,davidson20
761623,Games and Things,685 Harrison St,Newark ,NJ,07195,smith75
464026,We Be Toys,86 Highland St,Cleveland,OH,44127,jones13
293068,Toys and More,2309 Hill Ave,Cincinnati ,OH,45217,jones13
166091,Taylor's,129 Highview Way,Newark ,NJ,07191,green24
460542,Extravent Toys,287 Kildoo Rd,San Diego ,CA,92071,guo10
670619,Toys For You,192 King Ave,Wilmington,DE,19806,gao24
322237,Dover Toys,111 Leon Dr,Dover,DE,19901,cortez55
212009,Toys and More,133 Loraine St,New York,NY,10020,rodriguez74
363629,The Toy Shoppe,23 Moyer St,Hartford,CT,06101,ribeiro22
313274,Maxwell's Toy Store,1390 Moore St,Atlanta,GA,31324,jones13
150613,Big Box Store,2822 Morris Ave,Minneapolis,MN,55416,allison29
171210,Big Box Store,10 Jackson Rd,El Paso,TX,79936,davidson20
381482,Superstore,79 Liberty St,Norwalk ,CA,90650,ribeiro22
588468,Super Mart,92 Mill St,Houston ,TX,77084,ribeiro22
737362,All Toys,321 Vine St,Baltimore,MD,21218,jones13
558621,Game Place,99 Walnut Ln,Lakewood ,NJ,08701,green24
496947,Big Box Store,112 Wayne St,Nashville ,TN,23711,guo10
348953,Rachel's Toy Spot,10 Jefferson St,San Diego ,CA,92154,gao24
644503,We Be Toys,190 Mercer St,Alburquerque ,NM,87121,cortez55
299769,Games and Things,58 Nearwood Dr,Anchorage,AK,99501,rodriguez74
936655,Mega Mart,7 Forrest Rd,Sacramento,CA,94203,smith75
810513,Superstore,273 Round St,Littleton,CO,80120,jones13
412359,Toys and More,22 Scott Rd,Orlando,FL,32801,adams75
853235,Games and Things,109 National Ln,Montpelier,ID,83254,gutierrez39
664231,Game Place,290 Oak Way,Springfield,IL,62701,jones13
713577,All Toys,19 Painter St,Des Moines,IA,50301,jones13
423429,Mega Mart,2109 Park Rd,Hazard ,KY,41701,jones13
215881,Toys and More,183 Patterson Way,Duluth ,MN,55801,mflemming17
997332,Games and Things,19 Main St,St Louis,MO,63101,smith75
304862,All Toys,173 Hoyt Ave,Cleveland,OH,44101,gray74
733090,Toys and More,182 Parkwood Ave,Logan ,UT,84321,smith75
625513,All Toys,112 Pearson St,Milwaukee,WI,53201,gray74
222550,Super Mart,1029 Pine Dr,Pinedale ,WY,82941,gray74
803403,We Be Toys,343 Pleasentview Dr,Livingston,NJ,07039,tanderson
196586,Toys and More,10 Plum Rd,Aberdeen,SD,57401,mflemming17
794696,Fran's Toys,342 Point Rd,Pittsburgh ,PA,15201,gray74
742393,Super Mart,193 Ridge St,Oxford,NC,27565,gutierrez39
958925,Games and Things,210 Riverrun Rd,Ashland,NH,03217,gray74
699058,Mega Mart,109 Ridgeview St,Tulsa,OK,74101,anderson21
643323,We Be Toys,18 Rosewood Rd,Pittsburgh ,PA,15201,gray74
294782,Big Box Store,109 Cascade Dr,Laurel,MT,59044,anderson21
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
